127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /styles/preview.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /styles/queue.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /styles/layout.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /styles/storage.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /assets/subtitles-ai-logo.svg HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /config.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/ui-shell.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/theme.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/ui-preview.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/ui-editor.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/ui-console.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/ui-queue.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/ui-probe.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/ui-storage.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/store.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/constants.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/api.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/toast.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 13:50:48] "GET /js/notifications.js HTTP/1.1" 200 -
